level,success,cost,nodes_expanded,max_frontier,time,solution_length
level_1,Éxito,37,150,26,0.0569610595703125,37
level_10,Éxito,143,2069,56,2.3824758529663086,143
level_2,Éxito,28,387,26,0.17244553565979004,28
level_3,Éxito,45,238,27,0.1799325942993164,45
level_4,Éxito,91,4136,80,4.3655524253845215,91
level_5,Éxito,132,973,72,1.790511131286621,132
level_6,Éxito,199,9068,144,26.475798845291138,199
level_7,Éxito,67,121,28,0.14325428009033203,67
level_8,Éxito,215,720,58,2.5193426609039307,215
level_9,Éxito,34,184,18,0.0719139575958252,34
